id;name;address;city;phone;email
1;connecting fritas;methodologies Yemeni;Orihuela Franciscaville;947.731.795;MaraElena_Uras73@hotmail.com
2;Mercado Productor;Barein;Rascónfurt;924476753;Elisa.Njera52@yahoo.com
3;complejidad Saudí benchmark;alarm;Quirózborough;929423595;Ignacio.Delafuente@hotmail.com
4;analizada Re-contextualizado digital;microchip Dollar;Barbaraland;916544903;Berta38@gmail.com
5;Cantabria Adelante Blanco;Hormigon XML motivadora;Almería Isabela;918.189.310;Leticia_Perales97@yahoo.com
6;neutral deposit;Re-contextualizado holística Mancha;Molina de Segura Pablo;972-977-991;Mayte96@gmail.com
7;Buckinghamshire Bacon;Coche PNG blockchains;Virginiashire;911.707.720;Dbora_Mireles75@yahoo.com
8;Bolivar;Plástico Sabroso;Harlingen;933474532;Lola51@hotmail.com
9;Ramal;Gerente;León Benitostad;912 742 296;Ignacio_Ulloa54@hotmail.com
10;Pasaje Bedfordshire deposit;platforms invoice Cambridgeshire;Elda Juanstad;978-247-600;Vicente.Pia95@gmail.com
