id;last_name;first_name;phone;email
1;Olmos;Cristóbal;901.056.078;Jorge.Seplveda18@yahoo.com
2;Blanco;Daniel;934849200;Lorena_Valdez@hotmail.com
3;Muro;Salvador;974-047-123;Lola_Tello@gmail.com
4;Toro;Ignacio;990.488.924;Irene.Orozco27@yahoo.com
5;Villagómez;Alejandra;980.002.663;Javier_Madera@yahoo.com
6;Urbina;Susana;922.208.218;Cristina_Alonzo@hotmail.com
7;Yáñez;Ernesto;970 003 033;Natalia66@gmail.com
8;Agosto;Ernesto;956 780 492;Rosario_Griego46@hotmail.com
9;Portillo;María;962253058;AnaLuisa_Romo78@yahoo.com
10;Gaitán;Norma;964-564-364;MaraJos_Briseo20@hotmail.com
